Parameter,Estimate
Fence MnWw,-0.031698
Fence NA,0
SaleType COD,0.021975
SaleType CWD,0.067437
SaleType Con,0.080819
SaleType New,0.117770
SaleType Oth,0.163032
SaleType WD,0
SaleCondition Abnorml,0.010226
SaleCondition AdjLand,0.313303
SaleCondition Alloca,0.038659
SaleCondition Family,0.030843
SaleCondition Normal,0.072764
SaleCondition Partial,0
